/usr/bin/ld.gold
    Finished `release` profile [optimized] target(s) in 2.37s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/token-swap-instructions'. Enabling persistent fuzzing mode
Start time:'2026-08-18.07.06.47' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/token-swap-instructions', input:'hfuzz_workspace/token-swap-instructions/input', output:'hfuzz_workspace/token-swap-instructions/input', persistent:true, stdin:false, mutation_rate:5, timeout:1, max_runs:0, threads:4, minimize:false, git_commit:380cf14962c64e3fa902d9442b6c6513869116ed
[2J[500B[2026-08-18T07:06:47-0700][W][26072] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #3
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #1
Persistent mode: Launched new persistent pid=26123
Persistent mode: Launched new persistent pid=26125
Persistent mode: Launched new persistent pid=26122
Persistent mode: Launched new persistent pid=26124
Sz:4 Tm:2,405us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/508
Sz:8 Tm:4,022us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/1325
Sz:8 Tm:1,792us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/0/0/782
Sz:8 Tm:7,234us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/1159
Sz:32 Tm:2,466us (i/b/h/e/p/c) New:0/0/0/6/0/712, Cur:0/0/0/23/0/1503
Sz:16 Tm:2,549us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/47/0/1189
Sz:16 Tm:2,337us (i/b/h/e/p/c) New:0/0/0/1/1/89, Cur:0/0/0/16/0/1152
Sz:60 Tm:2,555us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/0/0/1665
Sz:16 Tm:2,930us (i/b/h/e/p/c) New:0/0/0/0/0/248, Cur:0/0/0/0/0/770
Sz:32 Tm:1,870us (i/b/h/e/p/c) New:0/0/0/0/0/11, Cur:0/0/0/13/0/1630
